year,state_code,dist_code,court_no,mean_days,median_days
2010,9,13,8,171.69117647058823,119.0
2010,9,13,12,834.9912280701755,846.0
2010,9,13,25,1130.3529411764705,197.5
2010,9,13,29,230.0808823529412,146.0
2010,9,13,31,735.3172690763053,143.0
2010,9,13,36,3309.0,3309.0
2010,9,14,15,1101.7105882352942,979.0
2010,9,14,21,1929.4310344827586,1972.0
2010,9,14,26,1745.0,1745.0
2010,9,14,28,2094.267716535433,2132.0
2010,9,14,36,988.1261261261261,924.0
2010,9,18,11,1126.16,948.0
2010,9,18,12,860.0,860.0
2010,9,18,14,1092.5294117647059,1032.0
2010,9,18,20,2292.9322033898306,2268.0
2010,9,18,22,2961.3684210526317,2949.5
2010,9,19,14,1921.5714285714287,2014.0
2010,9,19,18,1198.248299319728,1133.5
2010,9,19,22,1492.4,1545.0
2010,9,19,35,1794.0,1730.0
2010,9,20,18,2050.0,1903.0
2010,9,20,23,2458.8,2659.0
2010,9,20,28,1493.2,1036.5
2010,9,20,35,2396.9,2460.0
2010,9,21,7,1172.7736842105264,1155.0
2010,9,21,9,1202.0238095238096,1119.0
2010,9,22,18,1705.5555555555557,1859.0
