,state_code,dist_code,court_no,total_cases,total_valid_cases,median_decision_days,mean_decision_days
325,6.0,20.0,3.0,20014.0,19919.0,434.0,665.422460966916
326,6.0,21.0,2.0,14649.0,13953.0,333.0,499.9513366301154
327,6.0,22.0,3.0,3568.0,3474.0,395.5,558.934081750144
328,6.0,23.0,4.0,2330.0,2329.0,567.0,726.5869471876342
329,6.0,24.0,2.0,5305.0,5292.0,156.0,312.1432350718065
330,6.0,25.0,2.0,963.0,963.0,449.0,528.2596053997923
331,6.0,26.0,3.0,2813.0,2809.0,49.0,286.2431470274119
332,6.0,28.0,3.0,170.0,170.0,81.0,396.91764705882355
333,6.0,27.0,3.0,521.0,486.0,245.0,248.7880658436214
334,6.0,19.0,3.0,11368.0,10660.0,330.0,485.90881801125704
335,7.0,1.0,2.0,11571.0,11417.0,34.0,126.94937374091268
336,7.0,2.0,2.0,6548.0,6341.0,34.0,382.7385270462072
337,7.0,3.0,1.0,6646.0,6466.0,23.5,158.5497989483452
338,7.0,4.0,2.0,6729.0,6704.0,28.0,293.62544749403344
339,7.0,5.0,1.0,5873.0,5639.0,25.0,294.4289767689307
340,7.0,6.0,2.0,8203.0,7719.0,33.0,360.8529602280088
341,7.0,7.0,2.0,17325.0,16633.0,29.0,133.73660794805508
342,7.0,8.0,4.0,3883.0,3869.0,45.0,188.13853708968725
343,7.0,9.0,4.0,29978.0,28363.0,25.0,146.22638648944047
344,7.0,10.0,1.0,13906.0,13564.0,25.0,128.526467118844
345,7.0,11.0,1.0,25103.0,23105.0,31.0,260.13823847652026
346,7.0,12.0,1.0,6474.0,6426.0,25.0,131.53439153439155
347,7.0,14.0,1.0,4876.0,4828.0,18.0,221.92626346313173
348,7.0,15.0,1.0,5834.0,5673.0,22.0,251.5022034197074
349,7.0,17.0,1.0,11778.0,11474.0,37.0,196.97559700191738
350,7.0,18.0,1.0,3077.0,3027.0,44.0,206.09117938553024
351,7.0,19.0,1.0,7003.0,6974.0,24.0,251.45139088041296
352,7.0,20.0,1.0,9213.0,8802.0,34.0,188.375482844808
353,7.0,21.0,1.0,4498.0,3885.0,45.0,226.45508365508366
354,7.0,23.0,1.0,2204.0,1996.0,47.0,472.94639278557116
355,7.0,24.0,1.0,1218.0,1197.0,425.0,842.1695906432749
356,7.0,13.0,1.0,9065.0,8813.0,22.0,164.45376148870986
357,7.0,16.0,1.0,10009.0,9807.0,68.0,274.4227592535944
358,7.0,1.0,3.0,10586.0,8208.0,123.5,415.00706627680313
359,7.0,3.0,5.0,12795.0,9241.0,310.0,630.3322151282329
360,7.0,4.0,4.0,5966.0,5313.0,260.0,542.2386598908338
361,7.0,6.0,5.0,12333.0,6147.0,653.0,922.9079225638523
362,7.0,7.0,3.0,18077.0,12869.0,82.0,453.41883596239023
363,7.0,8.0,5.0,6043.0,5054.0,240.0,427.4871388998813
364,7.0,9.0,5.0,31855.0,20141.0,271.0,483.85914304155705
365,7.0,10.0,4.0,19825.0,10016.0,483.0,748.8394568690096
366,7.0,11.0,2.0,37230.0,23285.0,693.0,923.9176293751342
367,7.0,14.0,3.0,7557.0,5514.0,508.5,776.411498005078
368,7.0,15.0,2.0,11935.0,10386.0,198.0,427.90843443096475
369,7.0,17.0,3.0,23609.0,18629.0,365.0,680.9516345482849
370,7.0,18.0,2.0,4562.0,4095.0,112.0,273.22490842490845
371,7.0,19.0,5.0,14304.0,12222.0,396.0,693.4248077237768
372,7.0,20.0,2.0,21780.0,12970.0,410.0,730.7046260601388
373,7.0,22.0,4.0,37354.0,35822.0,369.0,726.2189436659037
374,7.0,24.0,3.0,1996.0,1579.0,856.0,968.6130462317923
375,8.0,3.0,2.0,25685.0,25659.0,29.0,112.86570014419891
376,8.0,17.0,5.0,3943.0,3933.0,16.0,83.1721332316298
377,8.0,18.0,4.0,22998.0,22940.0,88.0,350.0885353095031
378,8.0,31.0,1.0,25386.0,25013.0,21.0,150.02634629992403
379,8.0,33.0,1.0,3749.0,3743.0,23.0,181.08736307774512
380,8.0,34.0,4.0,5464.0,5248.0,289.0,795.9009146341464
381,8.0,35.0,1.0,8045.0,8044.0,19.0,109.40290900049726
382,8.0,36.0,1.0,2626.0,2626.0,27.0,207.94630616907844
383,8.0,1.0,11.0,153.0,153.0,1750.0,1714.0261437908496
