,state_code,dist_code,court_no,median,mean,case_count
2382,9.0,3.0,21.0,1396.0,1640.2631578947369,38.0
2383,9.0,3.0,22.0,1983.0,2036.3557046979865,447.0
2384,9.0,3.0,23.0,1281.0,1772.3333333333333,3.0
2385,9.0,3.0,24.0,2267.5,2156.4375,64.0
2386,9.0,3.0,25.0,3496.5,3496.5,2.0
2387,9.0,4.0,14.0,1902.0,1893.46889441877,3343.0
2388,9.0,4.0,15.0,1782.0,1938.8873052071456,15863.0
2389,9.0,4.0,16.0,1862.0,1980.4202898550725,741.0
2390,9.0,4.0,17.0,2194.0,2127.0513532269256,1977.0
2391,9.0,4.0,18.0,1637.0,1630.6224489795918,99.0
2392,9.0,4.0,19.0,1213.0,1319.9302325581396,43.0
2393,9.0,4.0,20.0,1841.0,1837.486725663717,150.0
2394,9.0,4.0,21.0,1513.0,1578.3663366336634,102.0
2395,9.0,4.0,22.0,1681.0,1814.4132231404958,260.0
2396,9.0,4.0,23.0,2521.0,2521.0,1.0
2397,9.0,4.0,24.0,2001.0,1974.1573033707866,95.0
2398,9.0,4.0,26.0,2800.0,2710.586956521739,130.0
2399,9.0,4.0,27.0,2391.0,2378.8571428571427,89.0
2400,9.0,4.0,28.0,2064.0,2215.7714285714287,262.0
2401,9.0,4.0,30.0,2083.0,2254.02024291498,356.0
2402,9.0,4.0,31.0,1456.0,1692.155550024888,4259.0
2403,9.0,4.0,32.0,1904.0,1947.6851851851852,317.0
2404,9.0,4.0,33.0,2009.0,1981.0,8.0
2405,9.0,4.0,34.0,2257.0,2231.4,9.0
2406,9.0,4.0,37.0,972.0,1062.9446366782006,289.0
2407,9.0,4.0,38.0,2132.0,2224.2,40.0
2408,9.0,4.0,39.0,3027.5,3015.8333333333335,19.0
2409,9.0,5.0,7.0,1351.0,1470.0295081967213,329.0
2410,9.0,5.0,8.0,1461.0,1529.527027027027,299.0
2411,9.0,5.0,9.0,1446.0,1545.7384615384615,65.0
2412,9.0,5.0,10.0,1782.0,1832.0157232704403,797.0
2413,9.0,5.0,11.0,1526.0,1708.83,112.0
2414,9.0,5.0,12.0,2014.0,1852.4285714285713,63.0
2415,9.0,5.0,14.0,1992.0,1853.0625,132.0
2416,9.0,5.0,15.0,1982.0,1967.3694267515923,168.0
2417,9.0,5.0,16.0,841.0,960.1111111111111,19.0
2418,9.0,5.0,17.0,2297.0,2208.0444444444443,46.0
2419,9.0,5.0,18.0,2347.0,2013.807453416149,461.0
2420,9.0,5.0,19.0,1397.5,1661.625,18.0
2421,9.0,5.0,20.0,1293.0,1715.012987012987,125.0
2422,9.0,5.0,21.0,1916.0,1938.1234939759036,377.0
2423,9.0,5.0,22.0,970.0,1171.962962962963,27.0
2424,9.0,5.0,24.0,1692.5,1688.9872881355932,250.0
2425,9.0,5.0,25.0,1192.5,1466.75,39.0
2426,9.0,5.0,26.0,1842.0,1897.4730290456432,258.0
2427,9.0,5.0,27.0,1924.0,2004.095238095238,44.0
2428,9.0,5.0,30.0,3403.0,3395.5555555555557,9.0
2429,9.0,6.0,8.0,1490.0,1611.6408163265305,967.0
2430,9.0,6.0,9.0,1722.0,1728.521505376344,211.0
2431,9.0,6.0,10.0,1737.0,1726.7531172069826,477.0
2432,9.0,6.0,11.0,1456.5,1590.3557046979865,1568.0
2433,9.0,6.0,12.0,1249.5,1533.75,44.0
2434,9.0,6.0,13.0,1932.0,2071.3669250645994,517.0
2435,9.0,6.0,14.0,1330.0,1424.888888888889,27.0
2436,9.0,6.0,15.0,1900.0,1906.0625,20.0
2437,9.0,6.0,16.0,1671.5,1754.1842105263158,150.0
2438,9.0,6.0,17.0,1018.0,1042.0,10.0
2439,9.0,6.0,18.0,1721.0,1905.1182795698924,409.0
2440,9.0,6.0,19.0,2012.0,2064.1153846153848,26.0
2441,9.0,6.0,20.0,1884.0,1852.3181818181818,121.0
2442,9.0,6.0,21.0,1157.5,1318.5,4.0
2443,9.0,6.0,22.0,1818.0,1845.2978723404256,151.0
2444,9.0,6.0,23.0,2051.0,2031.5,12.0
2445,9.0,6.0,24.0,1740.5,1798.8908045977012,243.0
2446,9.0,6.0,27.0,3406.0,3406.0,1.0
2447,9.0,6.0,28.0,2786.5,2804.25,4.0
2448,9.0,7.0,11.0,1169.0,1441.0222222222221,563.0
